title,issn,cn,sponsor,compound_if,comprehensive_if,tags,categories,major_categories,detail_url
"安徽农学通报","1007-7731","34-1148/S","安徽省农学会","0.496","0.324","","农业综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIMD2ePszINY0nWhYOub8kxcf-tWIexFyu9mduL17AMXA-NicoMKqEEDbWqv_oijcpQc9MMmU9rJ_DT7yoPHSlcS6tIFBgLsqMD7cDqslFDWpw==&uniplatform=NZKPT&language=CHS"
"安徽农学通报(下半月刊)","1007-7731","34-1148/S","省农科院情报所;省农垦局发展处;丰乐种业;国家种业公司","","","","农业综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIP3qN6eOfDmMYHAN6xZePe2Ddz9WvaCxqWVi4A-7FUx5a8WnIuqpsvaHX8cm5XcSua1KzHs0sEMvvj8tUkPnZVldw5FdHZ5EPlyNfr1RCCGRA==&uniplatform=NZKPT&language=CHS"
"安徽农业大学学报","1672-352X","34-1162/S","安徽农业大学","1.720","1.037","网络首发","农业综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPmUCJl0NJUb-1-iH6EcS9WdjHpuh8RzQNWzaRtcN0_pZTGQd98ICk7YcNH5nmRj65IEmb2E9IFBDG-qgcUVLhxE7nxrPhvaTxpLe8kwGMFLg==&uniplatform=NZKPT&language=CHS"
"安徽农业大学学报(社会科学版)","1009-2463","34-1195/C","安徽农业大学","0.815","0.356","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPvgXRa3pnmQYx_eYHwLNyt-iNaTUyK_BzXOQkuYuqAk2AUGeSM6fRX2bSpqLgeoHRJvv5Cw34guBqs4Kfob4eACnGxA2r-ygd7t1f9RL2giw==&uniplatform=NZKPT&language=CHS"
"安徽农业科学","0517-6611","34-1076/S","安徽省农业科学院","0.897","0.520","网络首发","农业综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPzX7gFBoXB5Ovj6a9DQsOKxqF0k_RGbJPItvLWFoUMB4DJhLfkt9SteaH2rnriUabeGmFAYMFGhUMk1C82kvR4QPXZidHi1ZgthxG2tT5z7Q==&uniplatform=NZKPT&language=CHS"
"安徽商贸职业技术学院学报","1671-9255","34-1242/Z","安徽商贸职业技术学院","","","","经济与管理综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIOdFyyt50V_zHiQZ4GfQJu_vcdjIie_9JjFUPH-THWs2GjTvBrkp33k5JAyl3U5riVSTZ_gkadvf37chGrIRE_kIATeNGWSxYbDyvFkaSEYbw==&uniplatform=NZKPT&language=CHS"
"安徽省人民政府公报","1009-0746","34-1256/D","安徽省人民政府办公厅","","","","中国政治与国际政治","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIO7n1SNK9reethuMCBkl5UNkOd9H57p068iBsIwPz-85uslRGzcJwvwBESElYLVob_QwkuFjuyQS3PZrLL-sIXtNn79BUpKYZ_JMfZE27LIIQ==&uniplatform=NZKPT&language=CHS"
"安徽师范大学学报(社会科学版)","1001-2435","34-1041/C","安徽师范大学","2.121","0.978","网络首发","教育综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWINAI8gdd7rJUOvwNqadwF5SEniCf5AQActBfI4DHuF9ywmL_Rv-U1EGHUXFGYa9AwT9BkdllH8IEs-a0wqPhPdcMW3rrob6qcGB7cttbiHoiQ==&uniplatform=NZKPT&language=CHS"
"安徽师范大学学报(自然科学版)","1001-2443","34-1064/N","安徽师范大学","0.698","0.296","网络首发","基础科学综合","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIPbFE2N-qoM1znMHuDeuOWu2tSC_AAac5fUn9kTv6a1RfRuoNISYax0b24RZs-f9l1v2MHoSbUtQtta7ds0O-3PbhKOnqzTiOfdjOChCMAjPg==&uniplatform=NZKPT&language=CHS"
"安徽史学","1005-605X","34-1008/K","安徽省社会科学院","0.734","0.472","","史学理论","","https://navi.cnki.net/knavi/detail?p=5ZaO-ltDWIM08R0il0rYfyNTxyIbSCZtM3aSmNiQ4LLZcDv5Hg-LBco-6AzVZNXPYWBWgHkH9gkedKWqOKXPsR6xV7sAFJikbp4eyrksaJRPsMCL-yiunA==&uniplatform=NZKPT&language=CHS"
